GEOID,NAME,metro_state,POP,DENSITY
1250450,"Oak Hill city, Florida","Oak Hill, FL",2214,330.29228537
1258200,"Ponce Inlet town, Florida","Ponce Inlet, FL",3308,737.58924526
1262825,"St. Marks city, Florida","St. Marks, FL",324,165.41617927
1224500,"Fort White town, Florida","Fort White, FL",600,248.59227175
1228000,"Gulf Breeze city, Florida","Gulf Breeze, FL",6900,1474.1354231
1235425,"Jay town, Florida","Jay, FL",634,381.91572584
1204070,NA,"NA, FL",NA,NA
1259750,"Redington Shores town, Florida","Redington Shores, FL",2293,6951.4782191
1211925,"Chiefland city, Florida","Chiefland, FL",2186,324.48147783
1233800,"Inglis town, Florida","Inglis, FL",1347,394.52230964
1277825,"Williston city, Florida","Williston, FL",2735,411.52953706
1217325,"Destin city, Florida","Destin, FL",14247,1852.9966093
1262425,"Safety Harbor city, Florida","Safety Harbor, FL",18016,3658.9117813
1258575,"Port Orange city, Florida","Port Orange, FL",64842,2418.6899416
1255075,"Parker city, Florida","Parker, FL",4249,2223.6153219
1268275,"Springfield city, Florida","Springfield, FL",8577,2061.0823553
1216800,"DeFuniak Springs city, Florida","DeFuniak Springs, FL",6968,502.39052961
1274125,"Vernon city, Florida","Vernon, FL",706,148.19454005
1201125,NA,"NA, FL",NA,NA
1210425,NA,"NA, FL",NA,NA
1216062,NA,"NA, FL",NA,NA
1206925,"Blountstown city, Florida","Blountstown, FL",2443,766.30464656
1245750,"Milton city, Florida","Milton, FL",10523,1890.8679947
1278325,"Winter Springs city, Florida","Winter Springs, FL",37312,2511.0566831
1204650,NA,"NA, FL",NA,NA
1215800,NA,"NA, FL",NA,NA
1231075,NA,"NA, FL",NA,NA
1224475,"Fort Walton Beach city, Florida","Fort Walton Beach, FL",22521,2944.3738037
1273675,"Valparaiso city, Florida","Valparaiso, FL",5401,456.36038811
1205075,"Belleair town, Florida","Belleair, FL",4260,2460.9449435
1233625,"Indian Rocks Beach city, Florida","Indian Rocks Beach, FL",4285,5072.5631437
1233675,"Indian Shores town, Florida","Indian Shores, FL",1468,4397.5581417
1236175,"Kenneth City town, Florida","Kenneth City, FL",5121,7175.3785864
1202900,NA,"NA, FL",NA,NA
1215515,NA,"NA, FL",NA,NA
1215725,NA,"NA, FL",NA,NA
1215775,"Crystal River city, Florida","Crystal River, FL",3186,425.67102447
1222550,"Flagler Beach city, Florida","Flagler Beach, FL",5123,1427.9570669
1210725,"Carrabelle city, Florida","Carrabelle, FL",2820,589.05487136
1229150,"Havana town, Florida","Havana, FL",1708,622.18722159
1216550,"Daytona Beach Shores city, Florida","Daytona Beach Shores, FL",4614,5076.3821571
1251100,NA,"NA, FL",NA,NA
1265385,NA,"NA, FL",NA,NA
1272442,NA,"NA, FL",NA,NA
1225125,NA,"NA, FL",NA,NA
1235950,NA,"NA, FL",NA,NA
1241400,NA,"NA, FL",NA,NA
1243925,NA,"NA, FL",NA,NA
1274775,NA,"NA, FL",NA,NA
1251350,"Oldsmar city, Florida","Oldsmar, FL",15061,1683.8310066
1256975,"Pinellas Park city, Florida","Pinellas Park, FL",53637,3339.4334607
1216100,NA,"NA, FL",NA,NA
1239700,"Lawtey city, Florida","Lawtey, FL",725,479.23973123
1222175,"Fernandina Beach city, Florida","Fernandina Beach, FL",13169,1151.1212787
1230750,"Hilliard town, Florida","Hilliard, FL",3263,592.48176357
1245425,"Midway city, Florida","Midway, FL",3000,307.57824043
1258675,"Port St. Joe city, Florida","Port St. Joe, FL",3567,380.81665721
1200625,"Alford town, Florida","Alford, FL",463,439.00769458
1203725,"Bascom town, Florida","Bascom, FL",115,478.7300776
1209900,"Campbellton town, Florida","Campbellton, FL",221,85.160442309
1214850,"Cottondale town, Florida","Cottondale, FL",895,273.78638504
1242650,"Malone town, Florida","Malone, FL",2092,686.2458628
1259325,"Quincy city, Florida","Quincy, FL",6827,592.5399205
1246500,"Monticello city, Florida","Monticello, FL",2409,600.4747658
1239525,"Lauderdale Lakes city, Florida","Lauderdale Lakes, FL",36194,9833.3202916
1278775,"Worthington Springs town, Florida","Worthington Springs, FL",387,403.62766682
1202275,NA,"NA, FL",NA,NA
1222225,NA,"NA, FL",NA,NA
1238162,NA,"NA, FL",NA,NA
1247125,NA,"NA, FL",NA,NA
1253850,NA,"NA, FL",NA,NA
1266975,NA,"NA, FL",NA,NA
1203375,NA,"NA, FL",NA,NA
1215300,NA,"NA, FL",NA,NA
1212675,NA,"NA, FL",NA,NA
1230858,NA,"NA, FL",NA,NA
1261807,NA,"NA, FL",NA,NA
1245200,"Miami Springs city, Florida","Miami Springs, FL",13917,4834.3704452
1222387,NA,"NA, FL",NA,NA
1225900,NA,"NA, FL",NA,NA
1249260,NA,"NA, FL",NA,NA
1262275,NA,"NA, FL",NA,NA
1264925,NA,"NA, FL",NA,NA
1272350,"Trenton city, Florida","Trenton, FL",2160,636.67710008
1272145,NA,"NA, FL",NA,NA
1273163,NA,"NA, FL",NA,NA
1278025,NA,"NA, FL",NA,NA
1206875,NA,"NA, FL",NA,NA
1211912,NA,"NA, FL",NA,NA
1236462,NA,"NA, FL",NA,NA
1238350,NA,"NA, FL",NA,NA
1241775,NA,"NA, FL",NA,NA
1215375,"Crescent City city, Florida","Crescent City, FL",1535,743.55970678
1242575,"Maitland city, Florida","Maitland, FL",17652,3285.3101601
1201775,"Archer city, Florida","Archer, FL",1198,188.3384217
1259400,"Raiford town, Florida","Raiford, FL",239,438.34716837
1215575,"Cross City town, Florida","Cross City, FL",1713,927.87428349
1235800,NA,"NA, FL",NA,NA
1201700,"Apopka city, Florida","Apopka, FL",53447,1589.1765266
1213225,NA,"NA, FL",NA,NA
1224975,"Fruitland Park city, Florida","Fruitland Park, FL",10730,1818.8979838
1268135,"Southwest Ranches town, Florida","Southwest Ranches, FL",7957,613.22694292
1233950,"Inverness city, Florida","Inverness, FL",7414,973.95334713
1205300,"Belle Isle city, Florida","Belle Isle, FL",7240,3017.2759495
1251200,"Okeechobee city, Florida","Okeechobee, FL",5816,1434.0895947
1248625,"New Smyrna Beach city, Florida","New Smyrna Beach, FL",27843,738.33529901
1214400,"Coral Springs city, Florida","Coral Springs, FL",133759,5850.0757892
1244300,"Mexico Beach city, Florida","Mexico Beach, FL",1114,489.4490974
1230700,"Hillcrest Heights town, Florida","Hillcrest Heights, FL",298,1866.0848449
1237800,"Lake Clarke Shores town, Florida","Lake Clarke Shores, FL",3627,3930.8516904
1262650,NA,"NA, FL",NA,NA
1242150,"McIntosh town, Florida","McIntosh, FL",496,697.47358374
1261500,"Rockledge city, Florida","Rockledge, FL",28227,2327.1711701
1216975,NA,"NA, FL",NA,NA
1230525,"High Springs city, Florida","High Springs, FL",6178,279.65152698000003
1250925,NA,"NA, FL",NA,NA
1219206,NA,"NA, FL",NA,NA
1260275,NA,"NA, FL",NA,NA
1267462,NA,"NA, FL",NA,NA
1271825,NA,"NA, FL",NA,NA
1239775,NA,"NA, FL",NA,NA
1227550,"Greensboro town, Florida","Greensboro, FL",615,267.70644172
1209630,NA,"NA, FL",NA,NA
1206125,NA,"NA, FL",NA,NA
1254525,NA,"NA, FL",NA,NA
1217300,NA,"NA, FL",NA,NA
1212450,NA,"NA, FL",NA,NA
1225000,NA,"NA, FL",NA,NA
1239600,NA,"NA, FL",NA,NA
1233966,NA,"NA, FL",NA,NA
1267675,"South Pasadena city, Florida","South Pasadena, FL",5095,8351.2574108
1257058,NA,"NA, FL",NA,NA
1268950,NA,"NA, FL",NA,NA
1219400,NA,"NA, FL",NA,NA
1230494,NA,"NA, FL",NA,NA
1238275,NA,"NA, FL",NA,NA
1253725,NA,"NA, FL",NA,NA
1212275,NA,"NA, FL",NA,NA
1222250,NA,"NA, FL",NA,NA
1223375,NA,"NA, FL",NA,NA
1229320,NA,"NA, FL",NA,NA
1275725,NA,"NA, FL",NA,NA
1278250,"Winter Garden city, Florida","Winter Garden, FL",46051,2833.7547177
1243400,NA,"NA, FL",NA,NA
1249905,NA,"NA, FL",NA,NA
1260325,NA,"NA, FL",NA,NA
1229425,NA,"NA, FL",NA,NA
1268350,NA,"NA, FL",NA,NA
1201353,NA,"NA, FL",NA,NA
1242787,NA,"NA, FL",NA,NA
1220050,NA,"NA, FL",NA,NA
1216725,"Deerfield Beach city, Florida","Deerfield Beach, FL",81066,5423.0696844
1226000,NA,"NA, FL",NA,NA
1263362,NA,"NA, FL",NA,NA
1260475,NA,"NA, FL",NA,NA
1264325,NA,"NA, FL",NA,NA
1267425,NA,"NA, FL",NA,NA
1273950,NA,"NA, FL",NA,NA
1251825,"Orange City city, Florida","Orange City, FL",12335,1579.6388352
1248750,"Niceville city, Florida","Niceville, FL",15972,1182.5886592
1275300,NA,"NA, FL",NA,NA
1237500,NA,"NA, FL",NA,NA
1236325,"Key Colony Beach city, Florida","Key Colony Beach, FL",803,1824.957915
1232325,NA,"NA, FL",NA,NA
1278925,"Yankeetown town, Florida","Yankeetown, FL",529,68.431639117
1219350,NA,"NA, FL",NA,NA
1230325,"Highland Park village, Florida","Highland Park, FL",220,402.21434919
1243375,"Mary Esther city, Florida","Mary Esther, FL",4434,3009.1833997
1279237,NA,"NA, FL",NA,NA
1261875,NA,"NA, FL",NA,NA
1232000,"Hollywood city, Florida","Hollywood, FL",154817,5677.3646603
1268875,"Stuart city, Florida","Stuart, FL",16237,2403.7674529
1241577,"Loxahatchee Groves town, Florida","Loxahatchee Groves, FL",3593,287.17650602
1210825,NA,"NA, FL",NA,NA
1214125,"Cooper City city, Florida","Cooper City, FL",35800,4454.0799152
1224825,"Freeport city, Florida","Freeport, FL",2566,136.71473316
1243484,NA,"NA, FL",NA,NA
1238332,NA,"NA, FL",NA,NA
1204200,NA,"NA, FL",NA,NA
1276075,NA,"NA, FL",NA,NA
1224581,NA,"NA, FL",NA,NA
1207375,NA,"NA, FL",NA,NA
1278225,NA,"NA, FL",NA,NA
1249406,NA,"NA, FL",NA,NA
1262118,NA,"NA, FL",NA,NA
1267266,NA,"NA, FL",NA,NA
1277675,"Wildwood city, Florida","Wildwood, FL",7276,174.92791834
1204162,NA,"NA, FL",NA,NA
1248525,NA,"NA, FL",NA,NA
1222275,NA,"NA, FL",NA,NA
1260230,NA,"NA, FL",NA,NA
1275200,NA,"NA, FL",NA,NA
1228800,NA,"NA, FL",NA,NA
1219900,"Edgewood city, Florida","Edgewood, FL",3003,2470.7455261
1254175,NA,"NA, FL",NA,NA
1211225,"Cedar Key city, Florida","Cedar Key, FL",720,714.30018903
1220825,NA,"NA, FL",NA,NA
1275475,NA,"NA, FL",NA,NA
1260785,NA,"NA, FL",NA,NA
1220108,NA,"NA, FL",NA,NA
1200800,NA,"NA, FL",NA,NA
1250630,NA,"NA, FL",NA,NA
1260950,NA,"NA, FL",NA,NA
1254275,"Palmetto Bay village, Florida","Palmetto Bay, FL",24523,2960.0429825
1240525,NA,"NA, FL",NA,NA
1246520,NA,"NA, FL",NA,NA
1222560,NA,"NA, FL",NA,NA
1224925,NA,"NA, FL",NA,NA
1238519,NA,"NA, FL",NA,NA
1278500,NA,"NA, FL",NA,NA
1202660,NA,"NA, FL",NA,NA
1245100,"Miami Lakes town, Florida","Miami Lakes, FL",31367,5544.8015636
1239200,NA,"NA, FL",NA,NA
1202187,NA,"NA, FL",NA,NA
1276481,NA,"NA, FL",NA,NA
1258420,NA,"NA, FL",NA,NA
1269250,NA,"NA, FL",NA,NA
1251650,"Opa-locka city, Florida","Opa-locka, FL",15887,3688.0682434
1243785,NA,"NA, FL",NA,NA
1246725,NA,"NA, FL",NA,NA
1278740,NA,"NA, FL",NA,NA
1267887,NA,"NA, FL",NA,NA
1236200,NA,"NA, FL",NA,NA
1277862,NA,"NA, FL",NA,NA
1218575,"Dunedin city, Florida","Dunedin, FL",36537,3510.6695107
1262100,"Royal Palm Beach village, Florida","Royal Palm Beach, FL",40396,3560.908557
1235300,NA,"NA, FL",NA,NA
1216937,NA,"NA, FL",NA,NA
1225550,NA,"NA, FL",NA,NA
1276950,NA,"NA, FL",NA,NA
1206670,NA,"NA, FL",NA,NA
1249787,NA,"NA, FL",NA,NA
1265225,"Sewall's Point town, Florida","Sewall's Point, FL",2226,1889.7771685
1203480,NA,"NA, FL",NA,NA
1244275,NA,"NA, FL",NA,NA
1224100,"Fort Meade city, Florida","Fort Meade, FL",6257,764.57847012
1271569,NA,"NA, FL",NA,NA
1254075,"Palm Beach Gardens city, Florida","Palm Beach Gardens, FL",57704,982.81318642
1245225,"Micanopy town, Florida","Micanopy, FL",635,612.57172931
1276050,NA,"NA, FL",NA,NA
1216175,NA,"NA, FL",NA,NA
1232150,"Holmes Beach city, Florida","Holmes Beach, FL",4305,2568.2760745
1275641,NA,"NA, FL",NA,NA
1200410,NA,"NA, FL",NA,NA
1258962,NA,"NA, FL",NA,NA
1278800,NA,"NA, FL",NA,NA
1225750,NA,"NA, FL",NA,NA
1246000,NA,"NA, FL",NA,NA
1273725,NA,"NA, FL",NA,NA
1222375,NA,"NA, FL",NA,NA
1251125,NA,"NA, FL",NA,NA
1269812,NA,"NA, FL",NA,NA
1232400,NA,"NA, FL",NA,NA
1265425,"Shalimar town, Florida","Shalimar, FL",836,2898.1795851
1219212,NA,"NA, FL",NA,NA
1249275,NA,"NA, FL",NA,NA
1262550,NA,"NA, FL",NA,NA
1246225,NA,"NA, FL",NA,NA
1236300,"Key Biscayne village, Florida","Key Biscayne, FL",12846,10299.422249
1270075,"Surfside town, Florida","Surfside, FL",5651,10138.958235
1279231,NA,"NA, FL",NA,NA
1235875,"Jupiter town, Florida","Jupiter, FL",65791,3042.0910711
1209550,"Bunnell city, Florida","Bunnell, FL",2943,21.247470476
1245000,"Miami city, Florida","Miami, FL",467963,13000.239487
1257066,NA,"NA, FL",NA,NA
1213275,"Coconut Creek city, Florida","Coconut Creek, FL",61248,5485.2340008
1247200,"Mulberry city, Florida","Mulberry, FL",4257,689.07004278
1211150,NA,"NA, FL",NA,NA
1277100,"Wewahitchka city, Florida","Wewahitchka, FL",2133,318.66824027
1205125,"Belleair Bluffs city, Florida","Belleair Bluffs, FL",2187,4749.4463938
1202850,NA,"NA, FL",NA,NA
1238012,NA,"NA, FL",NA,NA
1235925,"Jupiter Island town, Florida","Jupiter Island, FL",929,342.77036426
1267163,NA,"NA, FL",NA,NA
1233375,"Indialantic town, Florida","Indialantic, FL",2908,2992.051625
1216050,NA,"NA, FL",NA,NA
1213125,NA,"NA, FL",NA,NA
1247300,NA,"NA, FL",NA,NA
1276062,NA,"NA, FL",NA,NA
1257900,NA,"NA, FL",NA,NA
1232825,NA,"NA, FL",NA,NA
1242400,"Madeira Beach city, Florida","Madeira Beach, FL",4301,4380.5780511
1271625,NA,"NA, FL",NA,NA
1209700,"Callahan town, Florida","Callahan, FL",1360,971.2298782
1217710,NA,"NA, FL",NA,NA
1235850,"Juno Beach town, Florida","Juno Beach, FL",3655,1792.1562998
1225655,NA,"NA, FL",NA,NA
1254450,"Palm Springs village, Florida","Palm Springs, FL",25216,5996.5195128
1238425,"Lake Mary city, Florida","Lake Mary, FL",17479,1925.0284894
1216675,"DeBary city, Florida","DeBary, FL",21305,1124.0295076
1221425,"Everglades city, Florida","Everglades, FL",421,459.94839767
1264525,NA,"NA, FL",NA,NA
1279250,"Zolfo Springs town, Florida","Zolfo Springs, FL",1773,1019.7717983
1245475,NA,"NA, FL",NA,NA
1205462,NA,"NA, FL",NA,NA
1241950,"Macclenny city, Florida","Macclenny, FL",6940,1429.2356823
1245975,"Miramar city, Florida","Miramar, FL",141191,4893.4867193
1237225,"LaBelle city, Florida","LaBelle, FL",5221,360.47677506
1224150,"Fort Myers Beach town, Florida","Fort Myers Beach, FL",7094,2552.0617861
1248875,NA,"NA, FL",NA,NA
1227400,"Green Cove Springs city, Florida","Green Cove Springs, FL",8577,1138.9270647
1243475,NA,"NA, FL",NA,NA
1277137,NA,"NA, FL",NA,NA
1230975,NA,"NA, FL",NA,NA
1212950,NA,"NA, FL",NA,NA
1236062,NA,"NA, FL",NA,NA
1267450,NA,"NA, FL",NA,NA
1316544,"Clarkston city, Georgia","Clarkston, GA",12637,6980.6411367
1357568,"Offerman city, Georgia","Offerman, GA",441,134.80178703
1378324,"Union City city, Georgia","Union City, GA",22399,1139.1506267
1329528,"Fitzgerald city, Georgia","Fitzgerald, GA",8662,968.47740943
1357736,"Oglethorpe city, Georgia","Oglethorpe, GA",1156,580.02955296
1326448,"Edison city, Georgia","Edison, GA",1396,596.5216406
1347252,"Lone Oak town, Georgia","Lone Oak, GA",91,145.63855222
1321268,"Daisy city, Georgia","Daisy, GA",141,146.46139544
1359416,"Parrott town, Georgia","Parrott, GA",136,174.66137285
1341932,"Jasper city, Georgia","Jasper, GA",3974,464.43333691
1362496,"Poulan city, Georgia","Poulan, GA",870,519.91015224
1300184,"Abbeville city, Georgia","Abbeville, GA",2684,878.51691822
1384960,"Young Harris city, Georgia","Young Harris, GA",1661,1744.8841798
1349924,"Marshallville city, Georgia","Marshallville, GA",1227,392.7484294
1326084,"Eatonton city, Georgia","Eatonton, GA",6725,327.90575993
1350680,"Meigs city, Georgia","Meigs, GA",1031,662.67373908
1308536,"Blakely city, Georgia","Blakely, GA",4571,260.43785733
1303124,"Arnoldsville city, Georgia","Arnoldsville, GA",366,215.46385678
1348848,"McIntyre town, Georgia","McIntyre, GA",605,116.72242334
1374852,"Surrency town, Georgia","Surrency, GA",202,261.34155889
1342184,"Jersey city, Georgia","Jersey, GA",146,188.11416245
1368096,"Sale City city, Georgia","Sale City, GA",344,187.59611819
1323900,"Douglasville city, Georgia","Douglasville, GA",33992,1506.9313327
1378800,"Valdosta city, Georgia","Valdosta, GA",56457,1569.7813689
1358184,"Omega city, Georgia","Omega, GA",1230,689.8715166
1378996,"Varnell city, Georgia","Varnell, GA",2139,561.28071369
1321324,"Dallas city, Georgia","Dallas, GA",13981,1894.2460859
1352696,"Morgan city, Georgia","Morgan, GA",1835,1401.2210653
1343892,"Kite city, Georgia","Kite, GA",227,281.74708442
1376756,"Toccoa city, Georgia","Toccoa, GA",8336,876.53715131
1360984,"Pinehurst city, Georgia","Pinehurst, GA",355,348.98966937
1300828,"Ailey city, Georgia","Ailey, GA",536,248.27996117
1346860,"Lithonia city, Georgia","Lithonia, GA",2331,2512.1846394
1367452,"Royston city, Georgia","Royston, GA",2571,754.39141768
1343192,"Kennesaw city, Georgia","Kennesaw, GA",34077,3507.7984031
1321380,"Dalton city, Georgia","Dalton, GA",33665,1637.8721005
1366696,"Roopville town, Georgia","Roopville, GA",229,289.99594764
1379164,"Vernonburg town, Georgia","Vernonburg, GA",124,305.71966873
1353508,"Mount Vernon city, Georgia","Mount Vernon, GA",2371,590.4783009
1371492,"Smyrna city, Georgia","Smyrna, GA",56666,3643.7746147
1312988,"Canton city, Georgia","Canton, GA",30528,1681.9285926
1353060,"Moultrie city, Georgia","Moultrie, GA",14211,852.94966832
1358100,"Oliver city, Georgia","Oliver, GA",230,247.63144023
1349008,"Macon-Bibb County, Georgia","Macon-Bibb County, GA",153159,614.11369433
1367984,"St. Marys city, Georgia","St. Marys, GA",18567,813.54463991
1366024,"Rochelle city, Georgia","Rochelle, GA",1103,578.42479392
1355244,"Newton city, Georgia","Newton, GA",575,197.58165829
1360508,NA,"NA, GA",NA,NA
1317580,NA,"NA, GA",NA,NA
1328968,"Fayetteville city, Georgia","Fayetteville, GA",17991,1396.5345851
1371464,"Smithville city, Georgia","Smithville, GA",636,253.78530758
1312232,"Byromville town, Georgia","Byromville, GA",500,1381.4492376
1330956,"Fort Oglethorpe city, Georgia","Fort Oglethorpe, GA",9994,719.06381566
1369896,"Sharon city, Georgia","Sharon, GA",126,161.48663402
1349504,"Manassas city, Georgia","Manassas, GA",85,109.99276538
1344340,"LaGrange city, Georgia","LaGrange, GA",30305,719.89445497
1369000,"Savannah city, Georgia","Savannah, GA",144464,1390.2773125
1334260,"Graham city, Georgia","Graham, GA",290,166.64611111
1332916,"Girard town, Georgia","Girard, GA",148,46.813319118
1379416,"Vidette city, Georgia","Vidette, GA",107,109.91352831
1312512,"Camak town, Georgia","Camak, GA",126,159.03411837
1355020,"Newnan city, Georgia","Newnan, GA",41581,2152.5304152
1346020,"Leslie city, Georgia","Leslie, GA",371,209.56802863
1312120,"Butler city, Georgia","Butler, GA",1759,541.46826375
1332384,"Gay town, Georgia","Gay, GA",81,93.951848279
1320848,"Culloden city, Georgia","Culloden, GA",186,239.32773306
1350260,"Maxeys town, Georgia","Maxeys, GA",225,94.504951499
1350596,"Meansville city, Georgia","Meansville, GA",214,426.83813791
1310076,"Braselton town, Georgia","Braselton, GA",12961,995.13730831
1375328,"Tallulah Falls town, Georgia","Tallulah Falls, GA",171,21.157912884999998
1330340,"Flowery Branch city, Georgia","Flowery Branch, GA",8325,1171.8809075
1359556,"Pavo city, Georgia","Pavo, GA",604,343.23135444
1366444,"Rocky Ford town, Georgia","Rocky Ford, GA",137,113.14477675
1365016,"Richland city, Georgia","Richland, GA",1643,513.36333203
1366668,"Rome city, Georgia","Rome, GA",36716,1164.2650979
1351492,"Milledgeville city, Georgia","Milledgeville, GA",18704,919.54038545
1315900,"Chester town, Georgia","Chester, GA",1564,1776.1937267
1313184,"Carl town, Georgia","Carl, GA",235,216.09962251
1380508,"Warner Robins city, Georgia","Warner Robins, GA",77617,2085.6378671
1322388,"Denton city, Georgia","Denton, GA",248,163.21924569
1352724,"Morganton city, Georgia","Morganton, GA",323,412.12894651
1319084,"Comer city, Georgia","Comer, GA",1178,363.90336768
1347336,"Lookout Mountain city, Georgia","Lookout Mountain, GA",1574,591.97636765
1323284,"Doerun city, Georgia","Doerun, GA",736,588.99630269
1348428,"McCaysville city, Georgia","McCaysville, GA",1204,800.068748
1363728,"Ray City city, Georgia","Ray City, GA",1094,954.45089395
1322724,NA,"NA, GA",NA,NA
1309852,NA,"NA, GA",NA,NA
1350820,NA,"NA, GA",NA,NA
1379612,NA,"NA, GA",NA,NA
1348092,"Lyerly town, Georgia","Lyerly, GA",514,684.10422918
1302116,"Americus city, Georgia","Americus, GA",15108,1336.9179433
1321688,"Danville town, Georgia","Danville, GA",212,268.69764426
1313492,"Carrollton city, Georgia","Carrollton, GA",27259,1221.4955182
1378464,NA,"NA, GA",NA,NA
1302844,"Argyle town, Georgia","Argyle, GA",208,120.96624889
1317832,"Collins city, Georgia","Collins, GA",571,559.82315459
1375104,"Sycamore city, Georgia","Sycamore, GA",664,671.25896065
1341988,"Jefferson city, Georgia","Jefferson, GA",12032,535.54448907
1384176,"Woodstock city, Georgia","Woodstock, GA",33039,2659.2597072
1330312,"Flovilla city, Georgia","Flovilla, GA",660,337.10328061
1363000,"Pulaski town, Georgia","Pulaski, GA",263,330.12714003
1304448,"Avera city, Georgia","Avera, GA",225,346.16786977
1376952,"Toomsboro city, Georgia","Toomsboro, GA",486,261.04434564
1322024,"Dearing town, Georgia","Dearing, GA",532,652.7465794
1324376,"Dublin city, Georgia","Dublin, GA",15881,997.25868607
1321940,"Dawsonville city, Georgia","Dawsonville, GA",3246,377.21754759
1370932,"Siloam town, Georgia","Siloam, GA",277,228.64337867
1384260,"Woodville city, Georgia","Woodville, GA",382,78.146426853
1373704,"Stockbridge city, Georgia","Stockbridge, GA",29904,2187.5608552
1316908,"Climax city, Georgia","Climax, GA",262,328.19510525
1323368,"Donalsonville city, Georgia","Donalsonville, GA",2466,620.9418526
1363840,"Rebecca town, Georgia","Rebecca, GA",165,210.02813166
1314192,"Cecil city, Georgia","Cecil, GA",283,296.19300056
1311672,"Buckhead town, Georgia","Buckhead, GA",183,230.39170417
1382412,"Whigham city, Georgia","Whigham, GA",464,395.41567337
1372122,"South Fulton city, Georgia","South Fulton, GA",99155,1169.4187686
1322108,"Deepstep town, Georgia","Deepstep, GA",120,147.103872
1369336,"Scotland city, Georgia","Scotland, GA",337,234.97134178
1309712,"Bowman city, Georgia","Bowman, GA",808,259.25272649
1364596,"Remerton city, Georgia","Remerton, GA",1079,5290.0722582
1374348,"Summertown city, Georgia","Summertown, GA",158,200.89559733
1357540,"Odum city, Georgia","Odum, GA",503,248.13086542
1363756,"Rayle town, Georgia","Rayle, GA",185,180.60466186
1372584,"Sparta city, Georgia","Sparta, GA",1230,677.01657388
1327708,"Ephesus city, Georgia","Ephesus, GA",461,124.78509491
1301808,"Alston town, Georgia","Alston, GA",159,55.804698235
1374180,"Sugar Hill city, Georgia","Sugar Hill, GA",24617,2220.1073941
1306688,"Bellville city, Georgia","Bellville, GA",118,119.6832909
1304084,"Attapulgus city, Georgia","Attapulgus, GA",425,533.75065401
1309460,"Boston city, Georgia","Boston, GA",1317,584.55843246
1300408,"Acworth city, Georgia","Acworth, GA",22818,2539.9561621
1301024,"Alapaha town, Georgia","Alapaha, GA",675,657.1381908
1376532,"Tignall town, Georgia","Tignall, GA",496,180.09010547
1310104,"Braswell town, Georgia","Braswell, GA",383,121.03827176
1351520,"Millen city, Georgia","Millen, GA",2766,772.76079916
1367760,"Rutledge city, Georgia","Rutledge, GA",842,257.32226294
1373312,"Statham city, Georgia","Statham, GA",2839,699.73802629
1353032,"Morven city, Georgia","Morven, GA",549,318.28839021
1327736,NA,"NA, GA",NA,NA
1335814,NA,"NA, GA",NA,NA
1315648,"Chauncey city, Georgia","Chauncey, GA",326,188.90353556
1376504,"Tiger town, Georgia","Tiger, GA",415,501.01453525
1319112,"Commerce city, Georgia","Commerce, GA",7085,571.18433423
1367676,NA,"NA, GA",NA,NA
1332528,"Georgetown-Quitman County unified government, Georgia","Georgetown-Quitman County unified government, GA",2299,15.201265389
1302060,"Ambrose city, Georgia","Ambrose, GA",379,124.24265712
1384708,"Yatesville town, Georgia","Yatesville, GA",360,417.00874005
1331684,"Funston city, Georgia","Funston, GA",450,393.97497749
1357456,"Oconee city, Georgia","Oconee, GA",243,187.2111176
1319000,"Columbus city, Georgia","Columbus, GA",195769,904.33168193
1340840,"Ila city, Georgia","Ila, GA",359,466.21009912
1304000,"Atlanta city, Georgia","Atlanta, GA",506811,3733.7785343
1320932,"Cumming city, Georgia","Cumming, GA",6547,978.828223
1378100,"Ty Ty city, Georgia","Ty Ty, GA",737,935.58749322
1349616,"Mansfield city, Georgia","Mansfield, GA",442,404.48401214
1308480,"Blairsville city, Georgia","Blairsville, GA",643,581.48063532
1308956,"Bluffton town, Georgia","Bluffton, GA",92,57.213376774
1324876,NA,"NA, GA",NA,NA
1308200,"Bishop town, Georgia","Bishop, GA",274,349.93072557
1383084,"Williamson city, Georgia","Williamson, GA",514,392.78239372
1354992,"Newington town, Georgia","Newington, GA",262,323.24066055
1380844,"Waverly Hall town, Georgia","Waverly Hall, GA",807,241.81168258
1304204,"Augusta-Richmond County consolidated government (balance), Georgia","Augusta-Richmond County, GA",197888,654.66381674
1339216,"Hoboken city, Georgia","Hoboken, GA",536,156.34986384
1350848,"Menlo city, Georgia","Menlo, GA",456,582.35181798
1348624,"McDonough city, Georgia","McDonough, GA",26768,2121.118834
1305708,"Barwick city, Georgia","Barwick, GA",372,518.07558987
1323480,"Dooling town, Georgia","Dooling, GA",136,293.91724986
1378044,"Tyrone town, Georgia","Tyrone, GA",7506,601.98576163
1307304,"Berlin city, Georgia","Berlin, GA",554,663.04841765
1336276,"Hampton city, Georgia","Hampton, GA",8073,1469.0095856
1315552,"Chattahoochee Hills city, Georgia","Chattahoochee Hills, GA",3318,57.174447181
1318000,"Colquitt city, Georgia","Colquitt, GA",1834,222.78527259
1320064,"Covington city, Georgia","Covington, GA",14206,903.25663371
1377652,"Tucker city, Georgia","Tucker, GA",36395,1808.9050055
1348008,"Luthersville city, Georgia","Luthersville, GA",831,262.66796487
1377372,"Trenton city, Georgia","Trenton, GA",2151,668.92089426
1379528,"Villa Rica city, Georgia","Villa Rica, GA",16058,1140.1653593
